path,bytes,type,category
model/ai_face_processor.bundle,22632281,bundle,model
model/ai_human_processor.bundle,16997967,bundle,model
graphics/face_beautification.bundle,5281702,bundle,graphics
graphics/controller_cpp.bundle,1608550,bundle,graphics
svga/rocket/waitio_rocket3.svga,1585253,svga,svga/rocket
svga/rocket/waitio_rocket1.svga,1573343,svga,svga/rocket
svga/rocket/waitio_rocket2.svga,1477325,svga,svga/rocket
svga/rocket/waitio_proscenium.mp4,1217754,mp4,svga/rocket
svga/rocket/waitio_rocket_foreground.mp4,1188385,mp4,svga/rocket
svga/login/waitio_login_bg.mp4,1063246,mp4,svga/login
pag/bomb/waitio_bomb_anim_lv6.pag,957045,pag,pag/bomb
model/ai_hand_processor.bundle,886457,bundle,model
pag/rank/waitio_rank_avatar_frame.pag,858670,pag,pag/rank
pag/lucky/waitio_lucky_gift.pag,680196,pag,pag/lucky
svga/kroom/waitio_lucky_gift_tip_top.svga,652834,svga,svga/kroom
svga/userspace/waitio_VIP6shizi.svga,622224,svga,svga/userspace
svga/userspace/waitio_VIP5fenghuang.svga,567775,svga,svga/userspace
pag/topbanner/waitio_bg_gold_man_3.pag,530815,pag,pag/topbanner
pag/topbanner/waitio_bg_gold_man_2.pag,507941,pag,pag/topbanner
pag/topbanner/waitio_bg_gold_man_1.pag,476154,pag,pag/topbanner
svga/rocket/waitio_room_rocket.svga,475917,svga,svga/rocket
svga/kroom/waitio_lucky_bag.pag,469245,pag,svga/kroom
svga/kroom/waitio_lucky_gift_winning.svga,463978,svga,svga/kroom
svga/userspace/waitio_VIP4bao.svga,437338,svga,svga/userspace
pag/rank/waitio_rank_avatar_cp_frame.pag,352423,pag,pag/rank
svga/cp/waitio_cp_avatar.svga,337613,svga,svga/cp
svga/rocket/waitio_rocket_top3_r.svga,333475,svga,svga/rocket
svga/rocket/waitio_rocket_top3.svga,333389,svga,svga/rocket
svga/dj/waitio_dj_lv3.svga,327954,svga,svga/dj
pag/gift/waitio_gift_continuous.pag,322097,pag,pag/gift
svga/userspace/waitio_VIP3lang.svga,318524,svga,svga/userspace
